"Name","ExtraId","Control Name","Registry Key","Registry Value","CSP Name","CSP Path(s)","Data Type","Default Value","Allowed Value","Severity","Availability","Category","Description","CIS RuleID","CIS Control","STIG ID","NIST SP 800-53 Rev 5","Security Impact","Change Risk Level"
"ConfigureSystemGuardLaunch","AZ-WIN-202247","Secured-Core SystemGuard (DRTM)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","ConfigureSystemGuardLaunch","./Vendor/MSFT/Policy","Config/DeviceGuard/ConfigureSystemGuardLaunch","Integer","1","Range(0, 2)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore","Enables System Guard Secure Launch (DRTM) to protect boot from firmware attacks.","NA","NA","WN25-CC-000010","SI-7, SC-39","Without DRTM, firmware attacks can compromise the security chain before OS loads.","Low - Enables hardware-based root of trust (DRTM); no application compatibility impact"
"EnableVirtualizationBasedSecurity","AZ-WIN-202245","Secured-Core Virtualization Based Security (VBS)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","EnableVirtualizationBasedSecurity","./Vendor/MSFT/Policy","Config/DeviceGuard/EnableVirtualizationBasedSecurity","Integer","1","Range(0, 1)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore","Enables Virtualization Based Security (VBS) to isolate critical OS components.","NA","NA","WN25-CC-000020","SC-39, SI-7","Disabling VBS removes memory isolation for credentials and code integrity.","Low - Enables Virtualization Based Security; foundational for Credential Guard and HVCI with minimal operational risk"
"HypervisorEnforcedCodeIntegrity","AZ-WIN-202246","Secured-Core Hypervisor-protected Code Integrity (HVCI)","HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard","HypervisorEnforcedCodeIntegrity","./Vendor/MSFT/Policy","Config/VirtualizationBasedTechnology/HypervisorEnforcedCodeIntegrity","Integer","2","Range(0, 2)","Critical","Domain Controller, Member Server, Workgroup Member","SecuredCore","Enables Hypervisor-protected Code Integrity (HVCI) for kernel-mode code signing.","NA","NA","WN25-CC-000030","SI-7, CM-14","Disabling HVCI allows unsigned kernel drivers, increasing rootkit exposure.","Low - Enforces kernel-mode code integrity via hypervisor; may block unsigned/incompatible drivers"
